number,color,color_num,author,author_kanji,author_hiragana,kimariji_kami,kimariji_kami_yomi,kimariji_shimo,kimariji_shimo_no_tenten,verse_1,verse_2,verse_3,verse_4,verse_5,verse_1_kanji,verse_2_kanji,verse_3_kanji,verse_4_kanji,verse_5_kanji,verse_1_hiragana,verse_2_hiragana,verse_3_hiragana,verse_4_hiragana,verse_5_hiragana,verse_1_hiragana_yomi,verse_2_hiragana_yomi,verse_3_hiragana_yomi,verse_4_hiragana_yomi,verse_5_hiragana_yomi,kyougi_yomi_kami,kyougi_yomi_shimo,kyougi_yomi_kami_kanji,kyougi_yomi_shimo_kanji,kyougi_yomi_kami_hiragana,kyougi_yomi_shimo_hiragana,torifuda_1,torifuda_2,torifuda_3
1,桃,16,[天智天皇|てんじてんのう],天智天皇,てんじてんのう,あきの,あきの,わがころもでは,わかころもては,[秋|あき]の[田|た]の,かりほの[庵|いほ]の,[苫|とま]をあらみ,わが[衣手|ころもで]は,[露|つゆ]にぬれつつ,秋の田の,かりほの庵の,苫をあらみ,わが衣手は,露にぬれつつ,あきのたの,かりほのいほの,とまをあらみ,わがころもでは,つゆにぬれつつ,あきのたの,かりおのいおの,とまをあらみ,わがころもでわ,つゆにぬれつつ,[秋|あき]の[田|た]のーかり[ほ|お]の[庵|いお]のｰ[苫|とま]をあらーみー,わがｰ[衣手|ころもで][は|わ]ー[露|つゆ]にぬれーつつ,秋の田のーかりほの庵のｰ苫をあらーみー,わがｰ衣手はー露にぬれーつつ,あきのたのーかりおのいおのｰとまをあらーみー,わがｰころもでわーつゆにぬれーつつ,わかころも,てはつゆに,ぬれつつ
2,黄,1,[持統天皇|じとうてんのう],持統天皇,じとうてんのう,はるす,はるす,ころもほ,ころもほ,[春|はる][過|す]ぎて,[夏|なつ][来|き]にけらし,[白妙|しろたへ]の,[衣|ころも][干|ほ]すてふ,[天|あま]の[香具山|かぐやま],春過ぎて,夏来にけらし,白妙の,衣干すてふ,天の香具山,はるすぎて,なつきにけらし,しろたへの,ころもほすてふ,あまのかぐやま,はるすぎて,なつきにけらし,しろたえの,ころもほすちょう,あまのかぐやま,[春|はる][過|す]ぎてー[夏|なつ][来|き]にけらしｰ[白妙|しろたえ]ーのー,[衣|ころも]ｰほす[てふ|ちょう]ー[天|あま]の[香具|かぐ]ー[山|やま],春過ぎてー夏来にけらしｰ白妙ーのー,衣ｰほすてふー天の香具ー山,はるすぎてーなつきにけらしｰしろたえーのー,ころもｰほすちょうーあまのかぐーやま,ころもほす,てふあまの,かくやま
3,青,1,[柿本人麻呂|かきのもとのひとまろ],柿本人麻呂,かきのもとのひとまろ,あし,あし,ながな,なかな,[足曳|あしびき]の,[山鳥|やまどり]の[尾|を]の,しだり[尾|を]の,[長々|ながなが]し[夜|よ]を,[独|ひと]りかも[寝|ね]む,足曳の,山鳥の尾の,しだり尾の,長々し夜を,独りかも寝む,あしびきの,やまどりのをの,しだりをの,ながながしよを,ひとりかもねむ,あしびきの,やまどりのおの,しだりおの,ながながしよを,ひとりかもねん,あしびきのー[山鳥|やまどり]の[尾|お]のｰしだり[尾|お]ーのー,ながながしｰ[夜|よ]をーひとりかもー[寝|ね][む|ん],あしびきのー山鳥の尾のｰしだり尾ーのー,ながながしｰ夜をーひとりかもー寝む,あしびきのーやまどりのおのｰしだりおーのー,ながながしｰよをーひとりかもーねん,なかなかし,よをひとり,かもねむ
4,桃,17,[山部赤人|やまべのあかひと],山部赤人,やまべのあかひと,たご,たご,ふじ,ふし,[田子|たご]の[浦|うら]に,うち[出|い]でて[見|み]れば,[白妙|しろたへ]の,[富士|ふじ]の[高嶺|たかね]に,[雪|ゆき]は[降|ふ]りつつ,田子の浦に,うち出でて見れば,白妙の,富士の高嶺に,雪は降りつつ,たごのうらに,うちいでてみれば,しろたへの,ふじのたかねに,ゆきはふりつつ,たごのうらに,うちいでてみれば,しろたえの,ふじのたかねに,ゆきわふりつつ,[田子|たご]の[浦|うら]にーうち[出|い]でて[見|み]ればｰ[白妙|しろたえ]ーのー,[富士|ふじ]のｰ[高嶺|たかね]にー[雪|ゆき][は|わ]ふりーつつ,田子の浦にーうち出でて見ればｰ白妙ーのー,富士のｰ高嶺にー雪はふりーつつ,たごのうらにーうちいでてみればｰしろたえーのー,ふじのｰたかねにーゆきわふりーつつ,ふしのたか,ねにゆきは,ふりつつ
5,青,4,[猿丸大夫|さるまるだゆう],猿丸大夫,さるまるだゆう,おく,おく,こゑ,こゑ,[奥山|おくやま]に,[紅葉|もみぢ][踏|ふ]み[分|わ]け,[鳴|な]く[鹿|しか]の,[声|こゑ][聞|き]く[時|とき]ぞ,[秋|あき]は[悲|かな]しき,奥山に,紅葉踏み分け,鳴く鹿の,声聞く時ぞ,秋は悲しき,おくやまに,もみぢふみわけ,なくしかの,こゑきくときぞ,あきはかなしき,おくやまに,もみじふみわけ,なくしかの,こえきくときぞ,あきわかなしき,[奥山|おくやま]にーもみ[ぢ|じ]ふみわけｰ[鳴|な]く[鹿|しか]ーのー,[声|こえ]ｰ[聞|き]くときぞー[秋|あき][は|わ][悲|かな]ーしき,奥山にーもみぢふみわけｰ鳴く鹿ーのー,声ｰ聞くときぞー秋は悲ーしき,おくやまにーもみじふみわけｰなくしかーのー,こえｰきくときぞーあきわかなーしき,こゑきくと,きそあきは,かなしき
6,青,7,[中納言家持|ちゅうなごんやかもち],中納言家持,ちゅうなごんやかもち,かさ,かさ,しろ,しろ,[鵲|かささぎ]の,[渡|わた]せる[橋|はし]に,[置|お]く[霜|しも]の,[白|しろ]きを[見|み]れば,[夜|よ]ぞ[更|ふ]けにける,鵲の,渡せる橋に,置く霜の,白きを見れば,夜ぞ更けにける,かささぎの,わたせるはしに,おくしもの,しろきをみれば,よぞふけにける,かささぎの,わたせるはしに,おくしもの,しろきをみれば,よぞふけにける,かささぎのー[渡|わた]せる[橋|はし]にｰおく[霜|しも]ーのー,[白|しろ]きをｰ[見|み]ればー[夜|よ]ぞふけにーける,かささぎのー渡せる橋にｰおく霜ーのー,白きをｰ見ればー夜ぞふけにーける,かささぎのーわたせるはしにｰおくしもーのー,しろきをｰみればーよぞふけにーける,しろきをみ,れはよそふ,けにける
7,黄,2,[安倍仲麿|あべのなかまろ],安倍仲麿,あべのなかまろ,あまの,あまの,みか,みか,[天|あま]の[原|はら],[振|ふ]りさけ[見|み]れば,[春日|かすが]なる,[三笠|みかさ]の[山|やま]に,[出|い]でし[月|つき]かも,天の原,振りさけ見れば,春日なる,三笠の山に,出でし月かも,あまのはら,ふりさけみれば,かすがなる,みかさのやまに,いでしつきかも,あまのはら,ふりさけみれば,かすがなる,みかさのやまに,いでしつきかも,[天|あま]の[原|はら]ーふりさけ[見|み]ればｰ[春日|かすが]ーなるー,[三笠|みかさ]のｰ[山|やま]にー[出|い]でし[月|つき]ーかも,天の原ーふりさけ見ればｰ春日ーなるー,三笠のｰ山にー出でし月ーかも,あまのはらーふりさけみればｰかすがーなるー,みかさのｰやまにーいでしつきーかも,みかさのや,まにいてし,つきかも
8,緑,1,[喜撰法師|きせんほうし],喜撰法師,きせんほうし,わがい,わがい,よをう,よをう,わが[庵|いほ]は,[都|みやこ]のたつみ,[鹿|しか]ぞ[住|す]む,[世|よ]をうぢ[山|やま]と,[人|ひと]はいふなり,わが庵は,都のたつみ,鹿ぞ住む,世をうぢ山と,人はいふなり,わがいほは,みやこのたつみ,しかぞすむ,よをうぢやまと,ひとはいふなり,わがいおわ,みやこのたつみ,しかぞすむ,よをうじやまと,ひとわゆうなり,わが[庵|いお][は|わ]ー[都|みやこ]のたつみｰしかぞーすむー,[世|よ]をｰう[ぢ|じ][山|やま]とー[人|ひと][は|わ][いふ|ゆう]ーなり,わが庵はー都のたつみｰしかぞーすむー,世をｰうぢ山とー人はいふーなり,わがいおわーみやこのたつみｰしかぞーすむー,よをｰうじやまとーひとわゆうーなり,よをうちや,まとひとは,いふなり
9,緑,2,[小野小町|おののこまち],小野小町,おののこまち,はなの,はなの,わがみよ,わかみよ,[花|はな]の[色|いろ]は,[移|うつ]りにけりな,いたづらに,わが[身|み][世|よ]に[経|ふ]る,ながめせし[間|ま]に,花の色は,移りにけりな,いたづらに,わが身世に経る,ながめせし間に,はなのいろは,うつりにけりな,いたづらに,わがみよにふる,ながめせしまに,はなのいろわ,うつりにけりな,いたずらに,わがみよにふる,ながめせしまに,[花|はな]の[色|いろ][は|わ]ーうつりにけりなｰいた[づ|ず]らーにー,わが[身|み]ｰよにふるーながめせしーまに,花の色はーうつりにけりなｰいたづらーにー,わが身ｰよにふるーながめせしーまに,はなのいろわーうつりにけりなｰいたずらーにー,わがみｰよにふるーながめせしーまに,わかみよに,ふるなかめ,せしまに
10,黄,3,[蝉丸|せみまる],蝉丸,せみまる,これ,これ,しる,しる,これやこの,[行|ゆ]くも[帰|かへ]るも,[別|わか]れては,[知|し]るも[知|し]らぬも,[逢坂|あふさか]の[関|せき],これやこの,行くも帰るも,別れては,知るも知らぬも,逢坂の関,これやこの,ゆくもかへるも,わかれては,しるもしらぬも,あふさかのせき,これやこの,ゆくもかえるも,わかれてわ,しるもしらぬも,おうさかのせき,これやこのー[行|ゆ]くも[帰|かえ]るもｰ[別|わか]れてー[は|わ]ー,[知|し]るもｰ[知|し]らぬもー[逢坂|おうさか]のー[関|せき],これやこのー行くも帰るもｰ別れてーはー,知るもｰ知らぬもー逢坂のー関,これやこのーゆくもかえるもｰわかれてーわー,しるもｰしらぬもーおうさかのーせき,しるもしら,ぬもあふさ,かのせき
